Median_household_income_dollars,Percent_individual_below_povery_level,k,o,r
7.214100000000000000e+04,6.269542804000000302e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.400000000000000000e+04,1.314007389000000003e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.139800000000000000e+04,1.069323252000000046e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.157800000000000000e+04,1.514632102999999930e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.887800000000000000e+04,2.094021066000000175e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.496200000000000000e+04,1.806867923000000076e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.282700000000000000e+04,1.054881276000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.654300000000000000e+04,1.313856529999999978e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.226900000000000000e+04,1.777838527000000113e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.117700000000000000e+04,2.599604822999999953e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.417300000000000000e+04,1.222546481999999912e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.031000000000000000e+04,1.835168678000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.617500000000000000e+04,1.009692736000000046e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.115200000000000000e+04,3.022055220000000020e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.315700000000000000e+04,2.051604516000000089e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.106900000000000000e+04,1.646311719999999923e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.109500000000000000e+04,1.109540716000000060e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.195800000000000000e+04,1.370815864000000062e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.688800000000000000e+04,1.114754787999999941e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.005300000000000000e+04,1.278550148999999969e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.089600000000000000e+04,1.610279334000000162e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.047300000000000000e+04,2.502637963999999826e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.915800000000000000e+04,1.711898241000000098e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.974100000000000000e+04,2.617659584000000095e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.408100000000000000e+04,5.292418772999999632e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.557400000000000000e+04,1.433348243999999916e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.618600000000000000e+04,5.316400960000000175e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.023400000000000000e+04,1.041363761000000032e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.427700000000000000e+04,2.008840319000000108e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.436700000000000000e+04,2.436315586999999994e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.201900000000000000e+04,3.078392589999999984e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.661300000000000000e+04,9.607631036000000790e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
